Reviews,Size,Installs,Type,Price,'Content Rating',Genres,'Last Updated',Rating
5442,17,100000,0,0,3,1,2018,4.5
30630,17,1000000,0,0,1,11,2015,4.5
62636,17,1000000,0,0,3,2,2018,4.5
18277,17,1000000,0,0,3,3,2016,4.5
74673,17,10000000,0,0,1,12,2018,4.5
74695,17,10000000,0,0,1,12,2018,4.5
125578,17,5000000,0,0,1,2,2015,4.5
248417,17,5000000,0,0,3,3,2015,4.5
100,17,1000,1,3.99,1,8,2016,4.5
152102,18,10000000,0,0,3,6,2018,3.5
721,18,50000,0,0,3,7,2015,4
960,18,50000,0,0,1,2,2015,4.5
247,18,10000,0,0,1,5,2016,4.5
1063,18,50000,0,0,3,8,2017,4.5
3039889,18,10000000,0,0,4,2,2018,4.5
10393,18,1000000,0,0,1,3,2018,4.5
10434,18,1000000,0,0,1,3,2018,4.5
10460,18,1000000,0,0,1,3,2018,4.5
294,19,10000,0,0,1,3,2018,3.5
141,19,10000,0,0,1,3,2018,4
119368,19,10000000,0,0,3,2,2017,4
14002,19,1000000,0,0,1,3,2018,4.5
22896,19,1000000,0,0,1,3,2018,4.5
166251,19,5000000,0,0,1,1,2017,4.5
349503,19,10000000,0,0,1,3,2015,4.5
12683,19,1000000,0,0,1,2,2018,4.5
407788,19,5000000,0,0,1,2,2013,4.5
358633,19,10000000,0,0,1,11,2018,5
31883,20,1000000,0,0,3,2,2017,4
630,20,10000,1,4.99,1,8,2016,4
82827,20,10000000,0,0,3,3,2018,4.5
347883,20,10000000,0,0,1,2,2018,4.5
1878,20,100000,0,0,3,7,2017,4.5
5449,20,500000,0,0,2,2,2016,4.5
6947,20,500000,0,0,1,4,2017,4.5
26893,20,1000000,0,0,3,3,2017,4.5
52390,20,5000000,0,0,1,3,2018,4.5
326689,20,10000000,0,0,3,2,2018,4.5
4923,20,100000,0,0,2,8,2015,4.5
11379,20,500000,0,0,2,3,2018,4.5
42145,20,10000000,0,0,1,12,2018,4.5
132282,20,1000000,0,0,1,8,2018,5
183343,20,5000000,0,0,3,7,2018,5
541732,20,5000000,0,0,1,10,2018,5
1976,21,100000,0,0,3,2,2018,3.5
120852,21,10000000,0,0,3,2,2017,4
25275,21,5000000,0,0,1,11,2017,4
142693,21,5000000,0,0,3,2,2018,4
7904,21,500000,0,0,2,2,2016,4.5
10786,21,1000000,0,0,1,3,2017,4.5
54082,21,10000000,0,0,1,8,2018,4.5
406511,21,5000000,0,0,3,2,2016,4.5
413609,22,10000000,0,0,4,11,2018,4
164,22,10000,0,0,1,8,2015,4
209,22,10000,0,0,3,7,2018,4
428268,22,10000000,0,0,1,2,2015,4
3344300,22,50000000,0,0,2,11,2018,4.5
2526,22,100000,0,0,1,6,2018,4.5
2917,22,100000,0,0,3,8,2017,4.5
9051,23,1000000,0,0,1,3,2017,3.5
16521,23,1000000,0,0,1,10,2018,4
8122,23,500000,0,0,4,2,2017,4
85278,23,1000000,0,0,4,10,2018,4
505,23,10000,0,0,1,4,2014,4
166033,23,10000000,0,0,2,3,2018,4
131,23,1000,1,1.61,1,4,2016,4.5
16237,23,500000,0,0,1,11,2015,4.5
18985,23,5000000,0,0,1,12,2018,4.5
34494,23,5000000,0,0,2,3,2018,4.5
85882,23,10000000,0,0,1,3,2017,4.5
7687,23,100000,1,1.99,1,3,2017,4.5
76627,23,5000000,0,0,1,5,2018,4.5
547644,23,50000000,0,0,3,2,2018,4.5
549039,23,50000000,0,0,3,2,2018,4.5
325,23,10000,0,0,3,7,2015,5
403911,23,10000000,0,0,1,1,2018,5
3048,24,500000,0,0,3,2,2017,3.5
6386,24,500000,0,0,1,3,2017,4
115176,24,10000000,0,0,3,11,2018,4.5
369203,24,50000000,0,0,1,12,2018,4.5
180,24,5000,0,0,1,2,2018,4.5
42053,24,10000000,0,0,1,9,2018,4.5
213340,24,10000000,0,0,1,8,2018,4.5
10485308,24,500000000,0,0,1,12,2018,4.5
10485334,24,500000000,0,0,1,12,2018,4.5
10486018,24,500000000,0,0,1,12,2018,4.5
1914,24,100000,0,0,1,6,2018,4.5
2431,24,100000,0,0,3,8,2017,4.5
32831,24,500000,0,0,3,7,2017,4.5
267229,24,10000000,0,0,3,7,2018,5
4578476,24,50000000,0,0,2,13,2018,5
4041,24,10000,0,0,1,3,2017,5
48615,24,10000000,0,0,1,14,2018,5
141529,24,5000000,0,0,2,4,2018,5
142308,24,5000000,0,0,2,4,2018,5
2065,25,100000,0,0,1,8,2017,4
299,25,10000,0,0,1,11,2017,4
2362,25,100000,0,0,1,2,2013,4
24312,25,500000,0,0,1,10,2018,4
301895,25,50000000,0,0,1,11,2018,4
39895,25,5000000,0,0,4,8,2018,4.5
2460,25,50000,1,0.99,4,2,2016,4.5
15403,25,1000000,0,0,1,12,2018,5
2719142,25,10000000,0,0,3,14,2018,5
